        PosP R         PosP T         PosP N         VelP R         VelP T         VelP N        X E Cov        Y E Cov 
    -1.1907930      0.7972273     -1.2922476     -1.3860063     -1.3994367      1.1188753      2.4670763      2.3271919 
    -1.1907930      0.7972273     -1.2922476      1.0007892     -0.9560077     -0.7205934      2.6642030      2.1848032 
    -1.1907930      0.7972273     -1.2922476      2.1481327     -2.0398905      0.3566910      2.5071456      2.2931088 
    -1.1907930      0.7972273     -1.2922476      0.6280798     -1.3061441      1.0890727      2.4539479      2.3390725 
    -1.1907930      0.7972273     -1.2922476     -0.9492429      1.1160621      0.7924408      2.5342245      2.2717703 
    -1.1907930      0.7972273     -1.2922476     -0.9252801     -1.0343318      1.8913195      2.3928629      2.3996672 
    -1.1907930      0.7972273     -1.2922476      1.0770867     -0.2668660     -2.4660094      2.9145737      2.0668758 
    -1.1907930      0.7972273     -1.2922476      0.5726008     -0.1281972     -0.1539887      2.6074899      2.2199203 
    -1.1907930      0.7972273     -1.2922476     -0.1060482      0.0393042      1.5990002      2.4330558      2.3587711 
    -1.1907930      0.7972273     -1.2922476     -0.8126422     -0.1986591      0.0425682      2.5979885      2.2262043 
    -1.1907930      0.7972273     -1.2922476     -0.1583439      0.7024726      1.0206828      2.4991923      2.2996263 
    -1.1907930      0.7972273     -1.2922476     -0.4936591      0.9723109     -0.0805953      2.6209746      2.2112076 
    -1.1907930      0.7972273     -1.2922476      0.7137471      1.1765634      1.2869285      2.4735259      2.3214894 
    -1.1907930      0.7972273     -1.2922476     -1.9109272      0.3325995      0.4189255      2.5725147      2.2436735 
    -1.1907930      0.7972273     -1.2922476     -1.1665296      0.7265901      0.7027454      2.5403001      2.2671556 
    -1.1907930      0.7972273     -1.2922476      0.3063018      0.8695428     -0.0904087      2.6132289      2.2161832 
    -1.1907930      0.7972273     -1.2922476     -0.5088718      0.5297325     -0.5398119      2.6705526      2.1811091 
    -1.1907930      0.7972273     -1.2922476      1.4038577     -0.0653253     -1.6644592      2.7910526      2.1186657 
    -1.1907930      0.7972273     -1.2922476      0.3586259      1.0264729      2.2337828      2.3903534      2.4023624 
    -1.1907930      0.7972273     -1.2922476     -0.5620077     -0.0552670      1.9296960      2.4045666      2.3873257 
    -1.1907930      0.7972273     -1.2922476     -0.3442291     -0.7575190      0.8444031      2.4971736      2.3012995 
