        PosP R         PosP T         PosP N         VelP R         VelP T         VelP N        X S Cov        Y S Cov 
    -0.3957560      1.9782728     -0.2861360     -0.1331219      1.0242017      0.9266828      2.5577477      2.6083694 
    -0.3957560      1.9782728     -0.2861360      0.8174463      0.8573959      1.4086056      2.5158312      2.6594563 
    -0.3957560      1.9782728     -0.2861360      0.8782050      0.0941546      0.4871014      2.5936342      2.5687049 
    -0.3957560      1.9782728     -0.2861360      0.8448328     -1.3429948     -0.9991547      2.7542127      2.4262073 
    -0.3957560      1.9782728     -0.2861360     -0.0258524      0.6403635     -0.4360251      2.6840042      2.4824326 
    -0.3957560      1.9782728     -0.2861360     -1.5273501     -0.2227481      2.3968547      2.4329117      2.7792632 
    -0.3957560      1.9782728     -0.2861360     -0.1668241     -0.8164253      1.6793491      2.4855797      2.6999893 
    -0.3957560      1.9782728     -0.2861360      0.4505400     -1.1780823      0.5578040      2.5859749      2.5768820 
    -0.3957560      1.9782728     -0.2861360     -0.8240154      2.0760143      1.9361847      2.4826610      2.7040794 
    -0.3957560      1.9782728     -0.2861360     -1.5961726      1.2019959     -2.0109916      2.8547184      2.3582631 
    -0.3957560      1.9782728     -0.2861360     -0.8808873      0.3061958     -1.6392553      2.8195126      2.3805950 
    -0.3957560      1.9782728     -0.2861360     -1.0392643     -0.4799374      0.2394238      2.6205820      2.5410888 
    -0.3957560      1.9782728     -0.2861360     -0.1234110      0.4426161     -0.5133670      2.6928001      2.4749258 
    -0.3957560      1.9782728     -0.2861360      0.2672326     -1.0186431     -0.6022206      2.7078991      2.4623636 
    -0.3957560      1.9782728     -0.2861360      0.0912186     -1.5612005      0.7819728      2.5637724      2.6014636 
    -0.3957560      1.9782728     -0.2861360     -0.1377090     -0.0694726     -0.4557824      2.6888443      2.4782843 
    -0.3957560      1.9782728     -0.2861360     -0.8034323      0.9334877     -3.1433092      2.9973924      2.2808213 
    -0.3957560      1.9782728     -0.2861360     -0.3222884     -0.6996656     -0.4598172      2.6922028      2.4754311 
    -0.3957560      1.9782728     -0.2861360      0.5756081     -1.2863768     -0.0954807      2.6527127      2.5103341 
    -0.3957560      1.9782728     -0.2861360     -1.6616782      0.9889875      1.0095652      2.5526353      2.6143114 
    -0.3957560      1.9782728     -0.2861360      0.8896035     -0.3872562     -0.0801471      2.6487825      2.5139770 
    -0.3957560      1.9782728     -0.2861360     -1.6967049      1.9193947     -0.5027443      2.6897103      2.4775466 
    -0.3957560      1.9782728     -0.2861360     -1.2368630     -0.4537335      0.9706431      2.5511607      2.6160396 
    -0.3957560      1.9782728     -0.2861360      1.7939583      1.3699706     -0.3853285      2.6729617      2.4920610 
    -0.3957560      1.9782728     -0.2861360      2.9613699     -0.4042389      0.1779573      2.6191574      2.5425055 
    -0.3957560      1.9782728     -0.2861360     -0.9709490      2.1320003      1.7354257      2.4980786      2.6828397 
    -0.3957560      1.9782728     -0.2861360      2.2208036     -0.1144652     -1.8355022      2.8375801      2.3689517 
    -0.3957560      1.9782728     -0.2861360      0.2971873     -1.3162748     -1.2017624      2.7800857      2.4074364 
    -0.3957560      1.9782728     -0.2861360     -0.3482212      0.8150987     -1.4795772      2.7943906      2.3974611 
    -0.3957560      1.9782728     -0.2861360      0.0934098      0.6399516      0.2870786      2.6138486      2.5478263 
    -0.3957560      1.9782728     -0.2861360      0.8252252     -2.1705515      0.2093586      2.6205009      2.5411694 
    -0.3957560      1.9782728     -0.2861360     -0.8913489     -0.1577608     -1.6046175      2.8206472      2.3798521 
    -0.3957560      1.9782728     -0.2861360      2.1611634     -0.4009651      1.6170889      2.4908729      2.6926549 
    -0.0808548     -0.9139635     -1.7052873     -0.9017423      0.7625437     -1.0134157      3.2785317      2.2678148 
    -0.0808548     -0.9139635     -1.7052873     -0.7144279      0.2609359      1.7597763      2.8111265      2.5158466 
